datetime,symbol,open,high,low,close,volume,bullish_fvg,bearish_fvg,buy_side_sweep,sell_side_sweep,bullish_mss,bearish_mss
2026-05-04 06:00:00,OANDA:XAUUSD,4625.35,4625.705,4625.34,4625.705,27.0,False,False,False,False,False,False
2026-05-04 06:05:00,OANDA:XAUUSD,4625.71,4627.06,4621.1,4621.9,1417.0,False,True,False,False,False,True
2026-05-04 06:10:00,OANDA:XAUUSD,4621.94,4624.065,4619.255,4623.36,1655.0,False,False,False,False,False,False
2026-05-04 06:15:00,OANDA:XAUUSD,4623.295,4623.295,4617.54,4622.035,1319.0,False,False,False,False,False,False
2026-05-04 06:20:00,OANDA:XAUUSD,4621.67,4621.685,4612.66,4617.36,1527.0,False,False,False,False,False,True
2026-05-04 06:25:00,OANDA:XAUUSD,4617.35,4622.995,4616.995,4620.925,1427.0,False,False,False,False,False,False
2026-05-04 06:30:00,OANDA:XAUUSD,4620.91,4624.03,4620.13,4623.65,1224.0,False,False,False,False,True,False
2026-05-04 06:35:00,OANDA:XAUUSD,4623.6,4627.23,4622.875,4625.615,871.0,True,False,True,False,True,False
2026-05-04 06:40:00,OANDA:XAUUSD,4625.675,4629.465,4625.675,4628.225,867.0,False,False,True,False,True,False
2026-05-04 06:45:00,OANDA:XAUUSD,4628.21,4629.245,4625.88,4626.345,972.0,False,False,False,False,False,False
2026-05-04 06:50:00,OANDA:XAUUSD,4626.42,4627.5,4619.77,4619.88,1480.0,False,True,False,False,False,True
2026-05-04 06:55:00,OANDA:XAUUSD,4619.91,4621.63,4618.4,4619.0,1212.0,False,False,False,True,False,True
2026-05-04 07:00:00,OANDA:XAUUSD,4618.985,4621.0,4615.32,4619.36,1633.0,False,False,False,True,False,False
2026-05-04 07:05:00,OANDA:XAUUSD,4619.42,4620.025,4613.295,4615.535,1169.0,False,False,False,True,False,False
2026-05-04 07:10:00,OANDA:XAUUSD,4615.43,4616.02,4611.405,4615.18,1319.0,False,False,False,True,False,False
2026-05-04 07:15:00,OANDA:XAUUSD,4615.185,4617.255,4613.3,4616.585,1247.0,False,False,False,False,True,False
2026-05-04 07:20:00,OANDA:XAUUSD,4616.47,4616.47,4614.24,4616.085,1252.0,False,False,False,False,False,False
2026-05-04 07:25:00,OANDA:XAUUSD,4616.095,4617.63,4615.07,4617.205,1080.0,False,False,False,False,True,False
2026-05-04 07:30:00,OANDA:XAUUSD,4617.185,4618.51,4615.415,4617.605,1152.0,False,False,False,False,False,False
2026-05-04 07:35:00,OANDA:XAUUSD,4617.61,4618.55,4614.775,4614.865,1345.0,False,True,True,False,False,True
2026-05-04 07:40:00,OANDA:XAUUSD,4614.875,4615.135,4613.065,4613.915,1618.0,False,False,False,True,False,True
2026-05-04 07:45:00,OANDA:XAUUSD,4613.885,4616.56,4611.805,4614.61,2269.0,False,False,False,True,False,False
